ChromatedPixels;EdgePixels;MaskPixels;IsOccupied;EdgePixelsRatio;ChromatedPixelsRatio;SaturationMean;SaturationStddev;ValueMean;ValueStddev
2407;1051;7596;True;0,1383623;0,3168773;0,3976241;0,2680583;0,5800999;0,3721956
49;320;5426;False;0,05897531;0,009030594;0,1910699;0,1273448;0,3316284;0,2380358
0;191;4283;False;0,04459491;0;0,1470007;0,1035402;0,3362441;0,2803129
0;204;3357;False;0,06076854;0;0,1481271;0,110288;0,2846391;0,2180985
0;475;10438;False;0,0455068;0;0,1379034;0,1105638;0,3471621;0,3327447
2721;1091;7738;True;0,1409925;0,3516412;0,5412717;0,3941067;0,4328904;0,3327221
442;709;6420;False;0,1104361;0,06884735;0,2181339;0,2623266;0,3621208;0,3206123
26;354;4401;False;0,08043627;0,005907748;0,1607825;0,1426747;0,289019;0,2807364
3523;1591;10495;True;0,151596;0,3356837;0,4206119;0,2909367;0,6153306;0,3483348
2907;1159;7795;True;0,1486851;0,3729314;0,5732297;0,3779433;0,4664519;0,3093168
342;477;6202;False;0,07691067;0,0551435;0,2181788;0,2473335;0,3562791;0,2702179
2;659;4848;True;0,1359323;0,0004125413;0,2221713;0,1756379;0,2697065;0,3109573
4;943;16049;True;0,05875755;0,0002492367;0,1939648;0,1538798;0,2070334;0,2621773
0;389;11077;False;0,03511781;0;0,1255051;0,113038;0,2732955;0,2550741
0;448;9136;False;0,04903678;0;0,1237685;0,1096815;0,3696181;0,309491
0;380;6614;False;0,05745389;0;0,1325531;0,1071991;0,3418393;0,2804313
5862;2075;15663;True;0,1324778;0,3742578;0,5275783;0,4041375;0,5290074;0,3416148
4;365;10058;False;0,03628952;0,0003976934;0,1307472;0,09612551;0,2693823;0,2563503
5;754;9182;True;0,08211718;0,0005445437;0,209745;0,1661551;0,195211;0,2658435
9;386;4461;False;0,08652768;0,002017485;0,1485141;0,1244645;0,2481076;0,249584
4569;1663;14063;True;0,1182536;0,3248951;0,3796906;0,2577572;0,5626792;0,3803468
4421;1815;14391;True;0,1261205;0,3072059;0,4869446;0,3953436;0,4779839;0,348913
3566;1870;13841;True;0,1351058;0,2576403;0,3537028;0,2429115;0,4988008;0,389945
