SaturatedPixels;EdgePixels;MaskPixels;IsOccupied;EdgePixelsRatio;SaturatedPixelsRatio
2425;1276;7346;True;0,1737;0,3301116
158;546;5850;False;0,09333333;0,02700855
0;344;4517;False;0,07615674;0
4;278;3697;False;0,0751961;0,001081958
0;387;8814;False;0,04390742;0
2785;1363;7956;True;0,1713172;0,3500503
391;568;5862;False;0,09689526;0,06670079
22;329;4038;False;0,08147598;0,005448242
3544;1979;9984;True;0,1982172;0,354968
2837;1401;7694;True;0,1820899;0,3687289
374;503;5782;False;0,08699412;0,0646835
2;717;4498;True;0,1594042;0,0004446421
0;578;11560;False;0,05;0
0;577;8986;False;0,064211;0
0;560;6931;False;0,08079642;0
4;1035;14422;True;0,07176536;0,000277354
5681;2305;14730;True;0,1564834;0,3856755
7;490;10302;False;0,04756358;0,0006794797
9;401;4465;False;0,08980963;0,002015678
2;818;8339;True;0,09809329;0,0002398369
4411;1958;12758;True;0,1534723;0,3457438
4358;2200;13698;True;0,1606074;0,3181486
3587;2266;14126;True;0,1604134;0,2539289
110;929;9306;False;0,09982806;0,01182033
0;905;10474;False;0,08640443;0
2875;1576;7963;True;0,1979154;0,3610448
102;375;5507;False;0,06809516;0,01852188
1507;832;4164;True;0,1998079;0,3619116
1966;1030;4806;True;0,2143154;0,409072
3;408;7300;False;0,05589041;0,0004109589
1;421;9708;False;0,04336629;0,0001030078
0;587;14800;False;0,03966216;0
0;498;12388;False;0,04020019;0
0;549;11681;False;0,0469994;0
0;751;12704;False;0,05911524;0
0;1026;9560;False;0,1073222;0
235;1012;12340;False;0,08200973;0,01904376
3871;1611;10277;True;0,1567578;0,3766663
88;552;8344;False;0,06615532;0,0105465
2439;1195;6910;True;0,1729378;0,3529667
0;357;5679;False;0,06286318;0
0;370;7239;False;0,05111203;0
0;562;15089;False;0,03724568;0
0;1242;11246;True;0,1104393;0
3987;1581;10001;True;0,1580842;0,3986601
23;672;12162;False;0,05525407;0,001891136
2;1675;16150;False;0,1037152;0,000123839
10;1862;14234;True;0,1308135;0,0007025432
58;587;14065;False;0,0417348;0,004123711
4373;1732;11764;True;0,1472288;0,3717273
466;700;8720;False;0,08027523;0,05344037
2084;1188;6589;True;0,1803005;0,3162847
28;630;14239;False;0,04424468;0,00196643
0;415;9375;False;0,04426667;0
2;509;6436;False;0,07908639;0,000310752
0;737;9323;True;0,07905181;0
0;431;10962;False;0,03931764;0
0;425;8447;False;0,05031372;0
0;408;6346;False;0,06429247;0
6;373;4583;False;0,08138774;0,001309186
504;1492;7701;True;0,1937411;0,06544605
2155;1214;6276;True;0,1934353;0,3433716
259;373;4755;False;0,07844374;0,05446898
1521;778;4381;True;0,177585;0,347181
5634;2592;15289;True;0,1695337;0,3685002
338;494;9830;False;0,05025432;0,03438454
0;427;7260;False;0,05881543;0
2080;1133;5173;True;0,2190218;0,4020878
42;536;10244;False;0,05232331;0,004099961
3730;1998;12616;True;0,1583703;0,2956563
4312;2190;12826;True;0,1707469;0,3361921
16;1363;14752;False;0,09239426;0,001084599
1;543;12369;False;0,04390007;8,084728E-05
0;628;13255;False;0,04737835;0
0;747;12940;False;0,05772797;0
0;950;9408;False;0,1009779;0
174;819;11109;False;0,07372401;0,01566298
3821;1548;9741;True;0,1589159;0,3922595
43;489;7840;False;0,06237245;0,005484694
2320;1282;7281;True;0,1760747;0,3186375
4415;1909;12406;True;0,1538772;0,3558762
4293;2155;13110;True;0,1643783;0,32746
3828;2333;13966;True;0,1670485;0,2740942
174;951;9094;False;0,1045744;0,0191335
